analysis,key,tp_or_n,fp,recall_or_pct,far,precision
operating_point,bare,125,32,0.694,0.181,0.796
operating_point,MIBVblind,129,22,0.717,0.124,0.854
operating_point,conservative,148,54,0.822,0.305,0.733
operating_point,MIBVaware,127,35,0.706,0.198,0.784
operating_point,UNION_all_passive,172,68,0.956,0.384,0.717
bare_threshold,>=1of5,144,52,0.8,0.294,
bare_threshold,>=2of5,134,38,0.744,0.215,
bare_threshold,>=3of5,125,32,0.694,0.181,
bare_threshold,>=4of5,114,25,0.633,0.141,
bare_threshold,>=5of5,93,18,0.517,0.102,
bare_threshold,zero_vote_unreachable,36,,0.2,,
residual,CameraTakePhoto,mav3,,human_NC,,
residual,ExtAW042,appagent,,human_NC,,
residual,ExtAW059,mav3,,human_NC,,
residual,ExtAW164,appagent,,human_NC,,
residual,ExtTH068,appagent,,human_NC,,
residual,OrigAW014,appagent,,human_NC,,
residual,RecipeDeleteDuplicateRecipes3,appagent,,human_MISS,,
residual,RecipeDeleteDuplicateRecipes,appagent,,human_MISS,,
